,index,rating,comment
259817,259817,1.0,"Sehr freundliches, verständnisvolles, engagiertes und kompetentes Team."
268259,268259,1.0,"Klare Sprache, sehr zugewandt, kompetentes allumfassendes Beleuchten der Sachlage, praktisch und fachlich sehr gute Umsetzung, gute Tipps für Zuhause, ich fühlte mich sehr gut aufgehoben und beraten. Bei OP permanenter Austausch mit Klinikärzten, ich hatte das Gefühl immer gut begleitet zu sein. Ärztin hielt sich immer auf dem neusten Stand. Top!"
212301,212301,1.0,"Ich bin sehr froh, dass ich Herrn Dr. Mense in seine neue Praxis gefolgt bin! Er erklärt ausführlich und in Ruhe den Zustand der Zähne, sowie die weitere Behandlung. Möglichkeiten von Material und Kosten werden ebenso detailliert erläutert. Hier fühle ich mich sehr gut aufgehoben. Das Praxisteam ist ebenfalls sehr nett und die Praxis mit neuester Technik ausgerüstet."
2695,2695,1.0,"wer mit ""angeblicher"" Unfruchtbarkeit usw Rat und Hilfe braucht... bevor künstliche Befruchtung usw in Erwägung gezogen wird. ..beim Doc vorbei schauen. . . viel Geld gespart. ..Endometriose Spezialisten auch da...und bei anderen Raritäten sicher auch sehr zu empfehlen:-)))))"
378458,378458,1.0,Der Wartezeit war wirklich zu lang jedoch das Termin ist am Montag gewesen also dass ist verständlich. Ausserdem aller war Top. Beste Arzt!
229990,229990,1.0,Der Arzt war sehr freundlich und professionell. Er hat alles gut erklärt und war sehr hilfreich. Auch die Preisen waren sehr ökonomisch. Bin sehr zufrieden mir dieser Praxis.
222556,222556,1.0,"Unglaublich souverän, freundlich, aufmerksam, kompetent. Sowohl Herr Benthin sowie das gesamte Praxispersonal schaffen eine Atmosphäre, die alle vermeintlich unangenehmen Aspekte eines Zahnarztbesuchs verblassen lassen."
322747,322747,1.0,"Diese Zahnärztin ist nicht nur freundlich, sondern handwerklich sehr geschickt!<br />
<br />
Dies ist die beste Zahnärztin für mich seit vielen Jahren!"
10585,10585,1.0,"Unbedingt empfehlenswerter Arzt. <br />
Hier gibt es nichts zu Meckern!<br />
Und auch sein Team lobenswert."
37067,37067,1.0,"Ich war dort in Behandlung ohne vorherige Terminabsprache und kam reelativ zügig dran. Die Praxis ist modern und praktisch eingerichtet. Ich war dort wegen einer Mitteohrentzündung, die ich vermutete. Die Ärztin stelle bereits nach wenigen Sekunden dieselbe Diagnose, trotzdem wurde noch ein Hörtest mit mir gemacht und danach das weitere Vorgehen besprochen. Die Dame erschien mir sehr kompetent und war für alle meine Fragen offen. Ich habe mich dort sehr wohl und gut behandelt gefühlt. Nach ihrer empfohlenen Behandlung trat sehr schnell Besserung ein."
